rpc	calls	tier	coupling	disposition
BGOCC GETPL	1	M		canonical
BGOCC SET	1	M		canonical
BGOCPTPR GETMGRS	1	V	vuecentric-component	legacy
BGOPROB GET	1	M		canonical
BGOPROB GET CLASS	1	M		canonical
BGOPROB NEXTID	1	M		canonical
BGOPROB SET	1	M		canonical
BGOPROB1 EDPROB	1	M		canonical
BGOPROB2 MAP	1	M		canonical
BGOSNOPR GETCATS	1	V	vuecentric-component	legacy
BGOUTL CHKSEC	1	C	vuecentric-component	canonical
BGOUTL DICLKUP	1	M	vuecentric-component	canonical
BGOUTL FIRVIS	1	M	vuecentric-component	canonical
BGOUTL VCLN	1	M	vuecentric-component	canonical
BGOVEM GETDATA	1	M		canonical
BGOVEM GETSL	1	M		canonical
BGOVEXAM GETTYPES	1	M		canonical
BGOVEXAM SET	1	M		canonical
BGOVHF GETTYPES	1	M		canonical
BGOVHF SET	1	M		canonical
BGOVPED GETNAME	1	M		canonical
BGOVPED GETTYPES	1	M		canonical
BGOVPED SET	1	M		canonical
BGOVPED2 PROBEDU	1	M		canonical
BGOVPOV SET	1	M		canonical
BGOVPOV1 FRAC	1	M		canonical
BGOVPOV1 QUALLK	1	M		canonical
BGOVPOV2 INJURY	1	M		canonical
CIAURPC FILENT	1	M	vuecentric-framework	canonical
ORALWORD ALLWORD	1	V	cprs-chrome	legacy
ORDEA DEATEXT	1	C		canonical
ORDEA SIGINFO	1	C		canonical
ORQQCN EDIT DEFAULT REASON	1	C-dialog	cprs-dialog-machine	legacy
ORQQCN PROVDX	1	M		canonical
ORQQCN SVC W/SYNONYMS	1	M		canonical
ORQQCN UNRESOLVED	1	M		canonical
ORQQCN2 GET CONTEXT	1	M		canonical
ORQQPX REM INSERT AT CURSOR	1	C-dialog	cprs-dialog-machine	legacy
ORQQPXRM PROGRESS NOTE HEADER	1	C-dialog	cprs-dialog-machine	legacy
ORQQPXRM REMINDER CATEGORIES	1	M		canonical
ORQQPXRM REMINDERS UNEVALUATED	1	M		canonical
ORWD1 SVONLY	1	C		canonical
ORWD2 DEVINFO	1	M		canonical
ORWDCN32 DEF	1	C-dialog	cprs-dialog-machine	legacy
ORWDCN32 NEWDLG	1	C-dialog	cprs-dialog-machine	legacy
ORWDPS1 DFLTSPLY	1	M		canonical
ORWDPS1 FAILDEA	1	C		canonical
ORWDPS1 ODSLCT	1	C-dialog	cprs-dialog-machine	legacy
ORWDPS32 AUTH	1	C		canonical
ORWDPS32 DRUGMSG	1	C		canonical
ORWDX LOADRSP	1	C-dialog	cprs-dialog-machine	legacy
ORWDX LOCK	1	C		canonical
ORWDX SEND	1	C		quarantine
ORWDX UNLOCK	1	C		canonical
ORWDX WRLST	1	C-dialog	cprs-dialog-machine	legacy
ORWDX2 DCREASON	1	C-dialog	cprs-dialog-machine	legacy
ORWDXA DC	1	C		quarantine
ORWDXA DCREQIEN	1	C		canonical
ORWDXA VALID	1	C		canonical
ORWDXC SAVECHK	1	C		quarantine
ORWDXC SESSION	1	C		quarantine
ORWLRR INTERIMG	1	M		canonical
ORWLRR NEWOLD	1	M		canonical
ORWOR PKISITE	1	C		canonical
ORWOR UNSIGN	1	C		canonical
ORWORB KILL EXPIR MED ALERT	1	C		canonical
ORWORB KILL UNSIG ORDERS ALERT	1	C		canonical
ORWORB KILL UNVER MEDS ALERT	1	C		canonical
ORWORB KILL UNVER ORDERS ALERT	1	C		canonical
ORWPCE GET SET OF CODES	1	M		canonical
ORWPFSS IS PFSS ACTIVE?	1	C		canonical
ORWPS1 NEWDLG	1	C-dialog	cprs-dialog-machine	legacy
ORWPT INPLOC	1	M		canonical
ORWRP REPORT LISTS	1	V	cprs-chrome	legacy
ORWTIU CHKTXT	1	C		canonical
ORWU VALIDSIG	1	C		canonical
